date,city,lat,lon,pm25,pm10,no2,so2,co,o3,temp_c,humidity,wind_speed,rainfall_mm,aqi,risk_label
2024-01-29,Delhi,28.61,77.21,141.97,213.51,49.73,21.5,3.364,44.09,14.99,44.7,2.44,1.1,271.9,High
2024-01-30,Delhi,28.61,77.21,138.92,236.22,68.63,25.45,3.51,35.53,12.87,56.3,2.64,0.36,272.5,High
2024-01-31,Delhi,28.61,77.21,139.21,260.01,67.82,20.76,3.375,28.16,13.29,58.9,0.66,0.38,277.8,High
2024-02-01,Delhi,28.61,77.21,130.79,195.96,64.77,20.24,3.287,27.05,14.31,31.7,1.93,0.1,243.0,High
2024-02-02,Delhi,28.61,77.21,132.19,220.57,66.16,19.84,3.603,29.02,15.34,45.3,1.33,0.55,245.3,High
2024-02-03,Delhi,28.61,77.21,131.16,235.72,69.36,15.23,3.943,24.07,12.77,62.3,1.53,1.52,261.9,High
2024-02-04,Delhi,28.61,77.21,117.0,170.1,55.72,22.29,2.606,31.21,17.02,52.6,3.77,1.38,225.4,High
2024-02-05,Delhi,28.61,77.21,159.33,303.04,75.45,20.31,3.981,7.71,13.32,50.4,1.53,0.07,313.3,High
2024-02-06,Delhi,28.61,77.21,133.73,226.11,58.09,19.67,3.487,30.85,9.3,72.0,2.46,1.14,255.0,High
2024-02-07,Delhi,28.61,77.21,130.34,182.21,58.85,18.8,3.382,30.97,14.1,38.6,3.56,0.88,267.8,High
2024-02-08,Delhi,28.61,77.21,123.42,231.53,63.48,22.52,3.212,51.49,11.02,50.1,1.8,1.28,236.2,High
2024-02-09,Delhi,28.61,77.21,166.66,319.51,75.29,24.46,4.031,34.04,15.46,41.1,2.37,1.59,328.4,High
2024-02-10,Delhi,28.61,77.21,137.81,244.23,56.57,21.83,3.857,27.24,16.2,71.3,2.63,0.73,272.0,High
2024-02-11,Delhi,28.61,77.21,159.04,303.63,72.47,18.87,3.841,34.02,18.01,19.8,2.58,0.58,303.7,High
2024-02-12,Delhi,28.61,77.21,159.78,219.52,70.01,23.72,3.957,18.16,13.13,39.1,1.03,1.32,300.7,High
2024-02-13,Delhi,28.61,77.21,161.73,268.14,67.51,19.74,4.035,23.27,14.23,41.3,2.59,0.95,330.4,High
2024-02-14,Delhi,28.61,77.21,123.94,213.05,60.55,21.32,3.311,18.21,18.47,59.3,4.13,0.28,250.2,High
2024-02-15,Delhi,28.61,77.21,159.87,292.4,68.93,25.09,3.946,40.2,15.66,58.5,0.64,0.9,320.6,High
2024-02-16,Delhi,28.61,77.21,175.4,309.54,68.54,25.49,4.608,31.56,14.5,70.4,3.53,0.3,348.5,High
2024-02-17,Delhi,28.61,77.21,106.18,174.2,46.61,24.75,2.921,25.64,18.89,26.0,2.64,0.87,205.8,High
2024-02-18,Delhi,28.61,77.21,151.11,239.85,76.73,24.69,3.874,30.41,20.0,61.0,1.73,0.47,299.3,High
2024-02-19,Delhi,28.61,77.21,149.19,236.23,59.64,24.71,3.768,38.24,18.54,45.4,4.9,0.26,284.4,High
2024-02-20,Delhi,28.61,77.21,136.5,227.7,63.89,22.08,3.229,35.28,16.57,40.0,3.41,0.32,259.7,High
2024-02-21,Delhi,28.61,77.21,156.05,289.8,72.67,23.03,3.672,32.3,16.17,58.1,1.06,0.01,308.7,High
2024-02-22,Delhi,28.61,77.21,153.67,273.05,71.98,26.26,3.558,23.13,17.86,36.4,2.59,1.49,309.5,High
2024-02-23,Delhi,28.61,77.21,118.16,203.21,50.23,23.12,3.221,27.99,16.35,19.1,3.19,0.48,233.0,High
2024-02-24,Delhi,28.61,77.21,132.42,261.65,59.74,17.34,3.234,31.79,14.25,44.9,2.27,0.31,271.0,High
2024-02-25,Delhi,28.61,77.21,103.9,139.22,52.07,21.55,2.56,42.19,17.39,28.1,3.32,0.5,173.8,High
2024-02-26,Delhi,28.61,77.21,120.34,206.39,61.12,21.58,3.278,25.79,14.84,40.9,2.42,1.06,245.8,High
2024-02-27,Delhi,28.61,77.21,115.83,182.54,52.31,22.46,3.274,24.22,15.93,56.4,3.3,0.62,245.2,High
2024-02-28,Delhi,28.61,77.21,117.92,219.01,50.46,21.19,2.63,42.27,16.37,55.6,4.23,0.34,245.8,High
2024-02-29,Delhi,28.61,77.21,136.96,228.84,67.95,17.96,4.046,24.86,19.99,74.9,1.69,0.94,261.7,High
2024-03-01,Delhi,28.61,77.21,135.32,223.72,67.89,18.01,3.516,39.59,15.03,48.2,2.74,0.8,252.8,High
2024-03-02,Delhi,28.61,77.21,98.12,172.08,51.19,23.29,2.731,37.4,17.57,28.4,1.94,2.05,194.2,High
2024-03-03,Delhi,28.61,77.21,152.2,212.34,65.23,23.98,4.164,36.93,16.99,40.2,2.65,0.08,276.1,High
2024-03-04,Delhi,28.61,77.21,155.3,248.55,71.39,19.28,3.927,43.95,18.41,37.9,1.08,0.85,305.5,High
2024-03-05,Delhi,28.61,77.21,143.1,228.0,65.63,23.35,3.481,37.18,19.95,33.5,1.8,0.76,269.3,High
2024-03-06,Delhi,28.61,77.21,121.07,232.67,61.56,19.02,3.88,38.82,15.73,58.5,2.26,1.14,249.9,High
2024-03-07,Delhi,28.61,77.21,117.94,192.37,50.03,14.26,2.836,25.65,15.97,42.4,3.58,0.05,240.8,High
2024-03-08,Delhi,28.61,77.21,126.04,228.89,59.7,13.73,3.292,26.46,15.43,22.6,3.87,0.32,227.1,High
2024-03-09,Delhi,28.61,77.21,132.17,206.37,60.46,16.41,3.698,36.42,14.95,62.9,0.91,0.15,255.7,High
2024-03-10,Delhi,28.61,77.21,92.07,148.84,41.67,18.02,2.32,48.64,18.58,50.9,1.55,0.48,170.1,High
2024-03-11,Delhi,28.61,77.21,129.49,229.58,61.4,20.8,3.359,43.39,17.35,58.1,3.28,2.01,239.0,High
2024-03-12,Delhi,28.61,77.21,185.46,311.87,80.09,25.8,4.625,44.64,15.51,54.5,0.2,0.21,352.9,High
2024-03-13,Delhi,28.61,77.21,92.98,180.53,45.49,18.15,3.38,38.14,16.51,62.5,1.94,1.16,182.7,High
2024-03-14,Delhi,28.61,77.21,136.8,248.67,64.86,23.48,3.268,33.3,17.87,53.8,2.38,2.27,278.9,High
2024-03-15,Delhi,28.61,77.21,116.78,171.96,48.78,13.37,3.121,41.78,18.02,72.0,4.01,0.97,206.0,High
2024-03-16,Delhi,28.61,77.21,103.25,183.86,50.87,17.42,3.063,34.79,16.54,60.0,3.33,0.91,212.5,High
2024-03-17,Delhi,28.61,77.21,133.51,227.58,63.88,18.87,3.494,31.36,17.36,59.6,2.11,2.69,279.3,High
2024-03-18,Delhi,28.61,77.21,99.33,150.33,51.18,14.23,2.426,25.98,14.32,60.1,2.06,1.8,195.0,High
2024-03-19,Delhi,28.61,77.21,121.35,204.19,62.85,18.49,3.349,40.94,17.16,32.3,2.2,0.74,240.5,High
2024-03-20,Delhi,28.61,77.21,128.79,230.57,54.07,20.51,3.408,25.1,21.84,51.8,4.33,2.04,252.1,High
2024-03-21,Delhi,28.61,77.21,115.0,200.17,47.71,18.7,3.234,36.92,14.42,50.6,1.99,0.74,212.3,High
2024-03-22,Delhi,28.61,77.21,109.72,219.57,54.6,14.61,3.334,23.04,17.88,57.8,2.14,0.56,224.8,High
2024-03-23,Delhi,28.61,77.21,103.93,157.33,53.65,16.94,3.183,44.46,20.28,34.5,2.92,1.21,201.6,High
2024-03-24,Delhi,28.61,77.21,96.56,152.7,59.4,23.7,2.854,27.2,16.97,79.6,2.36,1.84,192.4,High
2024-03-25,Delhi,28.61,77.21,139.86,245.11,67.03,18.82,3.69,37.97,17.36,56.8,2.26,0.61,298.5,High
2024-03-26,Delhi,28.61,77.21,103.39,159.92,46.82,13.28,2.538,22.94,19.96,37.2,1.16,1.46,204.7,High
2024-03-27,Delhi,28.61,77.21,125.19,214.18,62.85,21.35,3.264,30.13,20.57,30.0,2.49,0.99,247.4,High
2024-03-28,Delhi,28.61,77.21,91.61,142.37,42.84,18.95,2.698,46.1,19.46,51.6,1.97,0.81,190.7,Moderate
2024-03-29,Delhi,28.61,77.21,110.56,154.92,46.27,20.45,2.891,27.25,15.84,54.7,3.9,2.34,194.4,High
2024-03-30,Delhi,28.61,77.21,93.17,166.35,60.65,13.96,2.693,37.19,19.9,45.4,3.28,0.27,170.9,High
2024-03-31,Delhi,28.61,77.21,55.3,95.36,35.98,16.52,1.658,36.04,17.99,57.8,2.47,0.13,103.8,Moderate
2024-04-01,Delhi,28.61,77.21,100.91,140.09,53.89,15.74,3.279,17.22,19.28,47.0,3.3,1.5,182.9,Moderate
2024-04-02,Delhi,28.61,77.21,89.71,140.34,49.22,13.57,3.24,39.51,20.06,65.1,2.09,1.04,178.5,Moderate
2024-04-03,Delhi,28.61,77.21,85.37,151.59,53.94,14.71,2.391,41.51,21.97,46.1,3.76,6.1,163.7,High
2024-04-04,Delhi,28.61,77.21,129.66,248.83,61.8,20.64,3.513,24.8,22.09,56.6,2.49,1.26,274.6,High
2024-04-05,Delhi,28.61,77.21,78.23,143.52,48.47,17.97,2.294,42.36,18.66,72.1,3.2,2.88,169.1,Moderate
2024-04-06,Delhi,28.61,77.21,84.67,137.38,39.5,18.34,2.872,31.3,20.43,96.2,0.95,0.86,170.6,High
2024-04-07,Delhi,28.61,77.21,115.1,183.3,48.32,19.44,3.232,27.59,23.74,42.7,2.92,0.06,217.0,High
2024-04-08,Delhi,28.61,77.21,114.13,183.82,62.08,22.21,3.106,35.66,23.39,51.0,0.47,1.44,225.5,High
2024-04-09,Delhi,28.61,77.21,139.99,202.99,71.37,22.24,3.533,27.84,24.3,45.6,0.2,0.34,272.7,High
2024-04-10,Delhi,28.61,77.21,106.57,172.41,54.85,21.34,2.969,53.72,20.14,70.2,2.13,0.73,194.3,High
2024-04-11,Delhi,28.61,77.21,86.47,137.03,46.39,12.44,2.229,25.41,21.65,41.4,1.42,4.58,169.2,Moderate
2024-04-12,Delhi,28.61,77.21,94.79,145.55,49.01,12.76,2.898,43.41,23.28,51.5,2.7,0.84,187.8,Moderate
2024-04-13,Delhi,28.61,77.21,92.1,156.76,43.8,19.54,2.428,44.31,18.68,58.6,5.19,0.89,180.9,Moderate
2024-04-14,Delhi,28.61,77.21,108.57,141.93,60.69,14.69,3.132,20.11,22.68,44.5,1.5,0.81,217.8,High
2024-04-15,Delhi,28.61,77.21,96.94,155.37,52.22,16.79,2.778,22.84,21.31,45.1,1.75,3.47,198.3,High
2024-04-16,Delhi,28.61,77.21,93.54,160.2,50.27,17.06,2.999,41.56,21.4,52.5,2.75,0.21,173.5,Moderate
2024-04-17,Delhi,28.61,77.21,87.38,152.17,47.46,15.27,2.543,33.41,20.0,28.3,3.09,0.84,171.5,High
2024-04-18,Delhi,28.61,77.21,83.8,154.57,49.57,15.02,2.783,41.09,21.33,38.4,2.29,0.39,156.6,Moderate
2024-04-19,Delhi,28.61,77.21,125.53,227.23,61.46,24.73,3.034,43.29,22.43,54.1,2.25,0.66,252.1,High
2024-04-20,Delhi,28.61,77.21,75.83,136.46,45.27,7.99,2.5,36.63,23.95,62.7,3.34,1.73,140.0,Moderate
2024-04-21,Delhi,28.61,77.21,57.66,108.03,29.34,16.42,1.886,33.08,24.53,57.9,3.12,0.89,123.1,Moderate
2024-04-22,Delhi,28.61,77.21,86.04,130.25,47.66,23.49,2.579,16.67,23.71,34.3,1.26,3.21,167.6,High
2024-04-23,Delhi,28.61,77.21,99.74,190.15,60.85,18.04,2.816,38.45,22.64,54.1,2.4,1.96,207.3,High
2024-04-24,Delhi,28.61,77.21,97.62,158.53,46.58,17.71,3.033,28.97,20.53,73.3,2.54,0.72,186.5,High
2024-04-25,Delhi,28.61,77.21,91.26,147.2,46.3,19.3,2.019,40.37,23.31,69.8,1.23,0.93,160.9,Moderate
2024-04-26,Delhi,28.61,77.21,72.06,142.84,44.68,20.69,2.338,41.43,22.61,60.5,2.81,0.78,161.5,Moderate
2024-04-27,Delhi,28.61,77.21,81.71,132.98,48.38,12.61,1.986,28.27,25.05,48.6,1.47,1.41,155.6,High
2024-04-28,Delhi,28.61,77.21,37.88,71.64,31.38,12.05,1.92,57.9,26.33,71.6,3.67,2.69,88.7,Moderate
2024-04-29,Delhi,28.61,77.21,54.89,96.71,26.12,12.93,1.306,50.32,23.79,53.6,2.73,6.29,111.5,Moderate
2024-04-30,Delhi,28.61,77.21,95.22,141.75,50.83,19.2,2.403,43.69,21.43,45.0,2.61,0.32,187.4,Moderate
2024-05-01,Delhi,28.61,77.21,75.9,134.8,35.64,16.07,1.816,29.7,22.55,50.7,1.79,2.47,166.7,Moderate
2024-05-02,Delhi,28.61,77.21,87.75,117.53,41.59,18.75,3.047,33.9,19.79,84.6,2.36,0.49,167.3,Moderate
2024-05-03,Delhi,28.61,77.21,111.89,171.51,56.9,17.92,2.651,30.84,21.36,66.4,0.2,3.36,227.3,High
2024-05-04,Delhi,28.61,77.21,88.04,132.45,44.33,16.95,2.595,35.61,25.78,80.7,1.14,2.04,152.5,High
2024-05-05,Delhi,28.61,77.21,66.71,102.27,42.4,12.66,1.974,31.83,24.98,56.3,2.94,0.89,135.9,Moderate
2024-05-06,Delhi,28.61,77.21,126.34,232.15,74.96,18.64,2.787,37.01,20.54,77.8,0.2,1.57,246.1,High
2024-05-07,Delhi,28.61,77.21,79.31,82.69,46.64,15.51,2.285,41.75,26.17,54.9,3.52,3.53,142.1,Moderate
2024-05-08,Delhi,28.61,77.21,82.1,127.95,47.35,15.78,2.641,42.86,27.17,61.7,0.4,0.7,157.0,High
2024-05-09,Delhi,28.61,77.21,79.38,118.75,38.3,12.42,2.332,34.66,22.14,100.0,3.41,3.64,154.2,Moderate
2024-05-10,Delhi,28.61,77.21,86.21,152.95,41.96,21.33,2.806,48.56,22.84,76.0,1.49,1.68,185.1,High
2024-05-11,Delhi,28.61,77.21,41.0,82.32,24.03,11.7,1.512,44.78,24.58,57.2,3.43,4.8,63.5,Low
2024-05-12,Delhi,28.61,77.21,62.04,100.93,34.05,10.05,2.043,19.58,25.63,63.6,2.66,3.08,119.9,Moderate
2024-05-13,Delhi,28.61,77.21,79.05,116.25,37.21,19.21,2.265,34.82,26.15,69.9,0.66,1.83,142.6,Moderate
2024-05-14,Delhi,28.61,77.21,28.19,50.04,21.57,8.57,1.467,44.73,26.69,83.4,4.0,1.19,66.8,Low
2024-05-15,Delhi,28.61,77.21,54.84,79.06,33.15,15.01,2.466,50.68,28.14,58.1,4.23,3.25,99.3,Moderate
2024-05-16,Delhi,28.61,77.21,62.8,85.57,31.98,14.23,2.165,40.06,29.14,39.5,2.42,3.6,122.2,Moderate
2024-05-17,Delhi,28.61,77.21,63.58,91.7,30.16,15.11,2.13,40.19,28.5,61.6,2.17,0.29,116.1,Moderate
2024-05-18,Delhi,28.61,77.21,30.44,42.72,18.85,11.56,1.223,39.75,26.99,66.2,2.31,3.2,63.9,Low
2024-05-19,Delhi,28.61,77.21,59.32,120.5,38.03,12.21,1.76,46.19,22.65,67.8,1.33,0.9,129.2,Moderate
2024-05-20,Delhi,28.61,77.21,57.24,100.87,35.33,13.85,2.384,38.09,24.65,86.1,3.82,1.63,107.8,Moderate
2024-05-21,Delhi,28.61,77.21,72.0,128.75,45.33,21.3,1.906,35.89,26.4,71.2,1.85,0.08,141.4,Moderate
2024-05-22,Delhi,28.61,77.21,41.44,66.82,34.73,5.43,1.355,37.34,24.74,78.9,2.44,6.75,65.5,Moderate
2024-05-23,Delhi,28.61,77.21,80.5,141.18,41.47,16.25,2.381,45.06,28.87,50.3,1.55,1.24,160.1,Moderate
2024-05-24,Delhi,28.61,77.21,46.56,78.41,34.65,13.96,1.603,38.57,24.95,80.0,1.75,2.13,98.7,Low
2024-05-25,Delhi,28.61,77.21,56.7,92.62,27.64,10.51,2.521,27.82,23.0,98.6,0.97,4.52,103.7,Moderate
2024-05-26,Delhi,28.61,77.21,65.94,101.99,49.49,10.48,1.409,47.04,28.84,78.9,4.01,1.75,137.1,Moderate
2024-05-27,Delhi,28.61,77.21,51.16,78.67,38.88,19.59,1.932,37.6,27.77,71.3,2.32,0.77,76.8,Moderate
2024-05-28,Delhi,28.61,77.21,45.57,76.24,29.87,11.44,1.925,46.41,27.05,70.0,3.66,0.74,69.6,Low
2024-05-29,Delhi,28.61,77.21,76.09,124.43,35.82,21.85,1.986,43.58,27.34,94.6,2.52,3.95,132.8,Moderate
2024-05-30,Delhi,28.61,77.21,58.35,118.22,37.32,15.44,1.774,52.72,29.74,54.1,1.67,0.84,112.2,Moderate
2024-05-31,Delhi,28.61,77.21,56.82,78.58,25.54,13.91,2.066,51.01,27.78,66.5,2.11,0.52,106.8,Moderate
2024-06-01,Delhi,28.61,77.21,54.94,99.33,30.33,14.92,2.388,36.46,21.85,75.2,1.83,4.22,107.0,Moderate
2024-06-02,Delhi,28.61,77.21,67.38,118.94,42.33,16.64,1.872,39.52,25.29,79.6,2.51,0.37,130.9,Moderate
2024-06-03,Delhi,28.61,77.21,21.02,47.86,22.73,13.64,0.747,35.59,26.7,62.0,2.05,3.11,50.4,Low
2024-06-04,Delhi,28.61,77.21,45.09,80.8,28.33,13.82,1.994,56.46,25.18,73.3,2.14,0.78,83.6,Moderate
2024-06-05,Delhi,28.61,77.21,49.82,80.19,37.19,13.42,2.254,46.97,28.07,64.7,0.85,0.1,83.1,Low
2024-06-06,Delhi,28.61,77.21,40.21,91.57,23.88,12.55,1.504,56.09,29.84,70.8,1.53,4.65,70.2,Moderate
2024-06-07,Delhi,28.61,77.21,24.72,45.48,25.07,14.53,0.63,43.0,26.76,67.2,4.48,6.09,69.8,Low
2024-06-08,Delhi,28.61,77.21,34.32,63.99,24.52,13.88,1.922,28.07,26.3,52.1,1.69,3.7,44.2,Low
2024-06-09,Delhi,28.61,77.21,57.86,84.2,31.02,10.78,1.898,56.03,31.87,69.1,1.24,1.23,107.7,Moderate
2024-06-10,Delhi,28.61,77.21,36.82,51.35,30.2,9.77,1.873,44.96,26.31,82.7,2.9,0.21,83.8,Low
2024-06-11,Delhi,28.61,77.21,45.37,60.93,25.92,13.53,1.694,44.39,26.21,55.1,4.19,0.68,89.6,Low
2024-06-12,Delhi,28.61,77.21,69.79,103.6,48.94,13.11,2.083,42.07,28.68,66.2,0.76,1.22,124.1,High
2024-06-13,Delhi,28.61,77.21,38.94,60.24,25.7,10.76,1.443,49.8,28.45,79.9,2.25,4.09,74.4,Low
2024-06-14,Delhi,28.61,77.21,49.15,78.68,42.15,10.05,2.225,47.62,27.56,54.0,1.74,12.76,103.0,Moderate
2024-06-15,Delhi,28.61,77.21,82.95,117.64,38.56,15.51,2.889,27.89,29.68,72.9,0.39,0.97,168.3,Moderate
2024-06-16,Delhi,28.61,77.21,42.42,64.08,32.88,13.51,1.007,52.89,28.13,54.3,3.38,0.85,71.7,Low
2024-06-17,Delhi,28.61,77.21,40.15,56.05,23.06,15.0,1.322,39.46,25.67,87.4,2.47,0.73,83.1,Moderate
2024-06-18,Delhi,28.61,77.21,47.16,54.7,24.8,12.74,2.276,39.74,27.31,100.0,2.59,2.71,88.9,Moderate
2024-06-19,Delhi,28.61,77.21,39.54,82.26,29.64,18.18,1.481,58.43,28.57,100.0,1.6,1.2,90.8,Moderate
2024-06-20,Delhi,28.61,77.21,51.0,88.6,36.24,12.87,1.412,50.5,27.45,67.3,3.05,0.62,113.2,Moderate
2024-06-21,Delhi,28.61,77.21,67.54,134.4,32.27,24.33,2.152,39.16,28.72,81.8,1.85,0.93,131.5,Moderate
2024-06-22,Delhi,28.61,77.21,24.56,43.99,29.52,13.46,1.259,31.21,28.39,72.6,2.33,4.17,33.6,Low
2024-06-23,Delhi,28.61,77.21,44.14,61.66,26.46,13.9,1.654,47.17,34.3,72.4,1.17,0.84,86.9,Low
2024-06-24,Delhi,28.61,77.21,74.64,112.54,41.78,13.97,2.149,44.71,26.2,94.2,1.04,2.17,159.7,Moderate
2024-06-25,Delhi,28.61,77.21,30.38,26.92,27.53,2.56,1.315,46.09,32.59,51.3,4.1,0.2,60.8,Low
2024-06-26,Delhi,28.61,77.21,54.79,73.01,37.15,13.01,1.759,32.95,27.98,87.0,1.89,0.37,104.6,Low
2024-06-27,Delhi,28.61,77.21,28.25,49.96,15.9,11.36,1.465,39.46,28.7,70.5,2.85,0.47,79.2,Low
2024-06-28,Delhi,28.61,77.21,33.72,71.64,34.89,17.14,1.231,35.39,29.35,92.4,2.46,0.56,57.9,Low
2024-06-29,Delhi,28.61,77.21,32.83,60.03,29.3,7.14,1.37,47.64,30.66,74.2,1.97,0.5,73.6,Low
2024-06-30,Delhi,28.61,77.21,75.4,123.84,39.26,21.26,2.265,48.64,32.09,61.3,1.89,3.27,139.7,Moderate
2024-07-01,Delhi,28.61,77.21,35.64,55.77,22.35,10.81,1.904,53.5,29.53,75.6,3.26,0.14,68.7,Low
2024-07-02,Delhi,28.61,77.21,40.02,64.97,20.54,14.17,1.712,38.35,27.37,82.6,2.14,0.3,77.9,Moderate
2024-07-03,Delhi,28.61,77.21,37.6,70.3,21.35,4.14,1.519,46.54,28.05,72.1,2.32,1.05,89.4,Low
2024-07-04,Delhi,28.61,77.21,41.45,67.16,32.23,12.56,1.79,49.24,29.84,79.0,2.53,2.66,70.4,Low
2024-07-05,Delhi,28.61,77.21,48.64,64.52,30.32,11.83,1.895,40.28,30.77,63.9,3.91,0.02,85.4,Low
2024-07-06,Delhi,28.61,77.21,34.13,50.09,21.29,13.46,1.809,45.49,33.64,39.7,3.32,1.82,48.7,Low
2024-07-07,Delhi,28.61,77.21,67.5,129.97,35.99,15.02,2.302,59.07,29.43,85.3,2.96,1.16,138.9,Moderate
2024-07-08,Delhi,28.61,77.21,52.8,84.8,41.3,9.85,2.394,45.63,30.89,82.3,1.82,0.87,96.9,Moderate
2024-07-09,Delhi,28.61,77.21,76.17,115.31,40.01,18.46,2.727,49.12,32.23,74.1,0.84,4.33,149.2,High
2024-07-10,Delhi,28.61,77.21,43.08,66.56,27.16,14.39,1.649,41.1,29.61,72.9,3.64,0.46,71.5,Moderate
2024-07-11,Delhi,28.61,77.21,47.71,84.24,38.45,14.56,1.63,43.24,25.6,87.5,3.66,1.21,89.6,Moderate
2024-07-12,Delhi,28.61,77.21,21.87,32.17,24.96,13.21,1.502,32.3,27.34,65.1,2.33,1.14,51.8,Low
2024-07-13,Delhi,28.61,77.21,28.56,52.93,25.22,14.16,1.526,45.05,27.03,61.4,3.15,2.73,54.5,Low
2024-07-14,Delhi,28.61,77.21,27.32,39.61,21.52,10.67,1.318,56.62,32.71,69.1,3.44,3.3,57.9,Low
2024-07-15,Delhi,28.61,77.21,34.59,59.97,19.34,7.39,1.049,61.37,26.8,89.8,3.5,1.15,72.6,Low
2024-07-16,Delhi,28.61,77.21,5.0,8.0,10.9,4.35,0.35,58.94,32.9,51.2,3.61,5.35,10.0,Low
2024-07-17,Delhi,28.61,77.21,60.73,111.47,33.85,18.12,2.119,48.32,29.68,89.9,1.95,3.24,103.9,Moderate
2024-07-18,Delhi,28.61,77.21,27.66,41.86,23.58,12.9,1.585,47.65,33.31,62.4,4.32,0.73,62.5,Low
2024-07-19,Delhi,28.61,77.21,47.31,68.14,33.34,13.04,1.987,40.14,32.23,55.5,1.0,0.03,91.0,Moderate
2024-07-20,Delhi,28.61,77.21,22.95,40.04,25.79,8.99,0.873,44.9,28.25,90.9,3.53,4.35,54.6,Low
2024-07-21,Delhi,28.61,77.21,26.74,40.59,25.47,10.77,1.646,50.95,29.06,70.5,3.09,3.58,30.8,Low
2024-07-22,Delhi,28.61,77.21,44.33,83.25,31.62,12.51,1.526,38.44,30.53,52.5,3.55,2.38,71.0,Low
2024-07-23,Delhi,28.61,77.21,11.24,17.69,13.9,8.11,1.141,55.34,29.99,66.6,4.75,0.21,10.0,Low
2024-07-24,Delhi,28.61,77.21,17.91,32.87,10.5,7.69,1.283,38.62,27.6,85.9,4.28,2.58,26.5,Low
2024-07-25,Delhi,28.61,77.21,58.25,84.17,32.78,20.32,1.724,28.46,28.39,89.8,1.13,1.19,120.5,Moderate
